_______________________________

Etudiant(e) : 21501810 - CAUMES CLEMENT

Message clair :
FB A2 DC 5E EA A7 FE C2

Message chiffré juste :
67 09 94 D1 36 5D 5E AD

Messages chiffrés faux :
65 0C 94 D5 36 5C 5E B9
67 1B 94 D5 36 5C 5E AD
67 09 96 95 36 5D 5E AD
66 59 90 97 36 5C 5E AD
66 59 94 D5 34 5D 5E AD
66 49 90 D1 26 5F 5E AD
66 09 90 D1 36 5D 5C AD
66 49 90 D0 36 4D 5E AF
6F 49 90 D0 76 59 5E AD
67 01 94 D0 36 4D 5E AD
67 09 9C D0 36 59 5E AD
27 09 84 D8 76 5D 5E AD
27 09 94 D0 3E 19 5E AD
67 09 84 D1 36 55 5E AC
27 09 94 D1 36 5D 56 AC
27 09 84 D1 32 5D 5E E4
47 09 94 D1 36 1D 4E EC
67 29 94 D1 32 5D 4E ED
67 09 B4 D1 32 5D 4F AD
67 09 D5 F1 32 5D 4F ED
73 09 94 D1 16 5D 4E ED
73 09 D4 D1 36 7D 5E AD
63 09 95 D1 36 5D 7E AD
63 09 D5 C1 36 5D 5A 8D
E3 09 95 C1 36 5D 1E AD
67 89 94 C1 36 5D 1A AD
67 09 14 C1 37 5D 5E AD
67 0D 94 51 36 5D 1A BD
67 0D 94 D1 B7 5D 5A B9
67 0D 94 D1 36 DD 5E A9
67 0C 94 D1 36 5D DE B9
67 1D 94 91 36 5C 5E 3D

_______________________________ 
